soc,route_code,driver,timestamp_data_utc,elv_spy,speed,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,altitude,start_timestamp,end_timestamp,capacity,ref_consumption,Frontal_Wind,value_counts,total_time,distance
58,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 10:06,118.1,18.8,17.0,99.27,-4223.4,2484.0,2.0,87.3,2.065,1189.5,118.7202296,30:26.9,08:11.1,62000.0,174.0,2.845855441167312,10,85.71428571428571,0.44761904761904764
59,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 10:02,76.36363636363636,58.61818181818182,16.568181818181817,99.27,-4166.772727272727,7581.818181818182,2.0,86.9090909090909,2.1522727272727273,3995.0,76.828297,30:26.9,08:11.1,62000.0,174.0,2.72271062394331,22,188.57142857142856,3.07047619047619
59,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 15:01,177.25,39.13,24.5,99.26,-708.05,4294.0,3.0,97.45,-0.5165,2639.4,177.600061,40:03.3,04:20.4,62000.0,174.0,-7.17531434539584,20,171.42857142857142,1.8633333333333333
60,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 09:51,63.422222222222224,43.01111111111111,16.22222222222222,99.27,-3968.822222222222,5102.222222222223,2.0,84.37777777777778,0.9611111111111111,2942.0222222222224,63.97813071111111,30:26.9,08:11.1,62000.0,174.0,-0.45855494051745105,45,385.7142857142857,4.608333333333334
60,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 14:59,121.11764705882354,51.03529411764706,24.852941176470587,99.26,-591.1764705882352,8082.35294117647,3.0,95.58823529411765,2.7570588235294116,3436.9411764705883,121.02418847058823,40:03.3,04:20.4,62000.0,174.0,-5.4099562591762576,17,145.71428571428572,2.065714285714286
61,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 09:43,106.47619047619048,34.26309523809524,16.11904761904762,99.27000000000001,-3669.595238095238,2922.8571428571427,2.0,85.88095238095238,0.5697619047619048,2326.6190476190477,106.95510082142857,30:26.9,08:11.1,62000.0,174.0,-1.2330753211118395,84,720.0,6.852619047619048
61,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 14:55,93.875,73.0625,25.479166833333334,99.26,-474.375,6086.666666666667,3.0,94.95833333333333,1.0579166666666666,4973.916666666667,94.30955133333333,40:03.3,04:20.4,62000.0,174.0,-9.099343549946369,24,205.71428571428572,4.175000000000001
62,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 09:42,95.14285714285714,103.0,16.0,99.27,-3337.0,17280.0,2.0,91.14285714285714,3.3514285714285714,7070.0,95.21455742857142,30:26.9,08:11.1,62000.0,174.0,-2.107786133288004,7,60.0,1.7166666666666666
62,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 14:53,92.6,88.91,26.8499996,99.26,-388.5,7330.0,3.0,94.15,1.3619999999999999,6013.45,93.29750755,40:03.3,04:20.4,62000.0,174.0,-4.615110184840665,20,171.42857142857142,4.233809523809524
63,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 09:40,97.5625,100.4125,15.6562506875,99.27,-3316.625,12790.0,2.0,91.125,1.19,6764.1875,97.9852784375,30:26.9,08:11.1,62000.0,174.0,-0.6236063810233428,16,137.14285714285714,3.825238095238095
63,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 14:48,111.21212121212122,78.3,27.848484848484848,99.26,-281.6060606060606,5435.151515151515,3.0,94.45454545454545,0.9057575757575758,5344.545454545455,111.79716587878788,40:03.3,04:20.4,62000.0,174.0,-7.188089918327349,33,282.85714285714283,6.152142857142857
64,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 09:37,97.8,65.91499999999999,15.625000749999998,99.27,-3248.3,10922.0,2.05,90.1,1.1724999999999999,4417.5,98.323949,30:26.9,08:11.1,62000.0,174.0,-1.1139296090068802,20,171.42857142857142,3.138809523809523
64,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 14:45,139.52380952380952,102.98095238095237,28.23809619047619,99.26,-187.14285714285714,10253.333333333334,3.0,94.71428571428571,0.7204761904761904,6983.380952380952,140.15198738095236,40:03.3,04:20.4,62000.0,174.0,-3.713958561212005,21,180.0,5.149047619047619
65,20230418_NISSAN_DONOSTIA_IRUN_013,d1,18/04/2023 09:30,110.64583333333333,37.581250000000004,16.4270834375,99.27,-2925.5416666666665,3764.1666666666665,2.0625,82.1875,0.5143749999999999,2513.1875,111.80694935416666,30:26.9,08:11.1,62000.0,174.0,-1.3649259167435115,48,411.42857142857144,4.295000000000001
65,20230418_NISSAN_ZARAUTZ_DONOSTIA_008,d2,18/04/2023 09:14,172.35714285714286,34.26428571428571,14.499999,99.27,-2639.285714285714,3331.4285714285716,2.0,92.42857142857143,0.162142857142857,2422.5,172.73176928571428,58:57.5,16:29.6,62000.0,174.0,2.5470688656949987,14,120.0,1.1421428571428571
65,20230419_NISSAN_TOLOSA_DONOSTIA_036,d4,19/04/2023 14:43,141.58823529411765,87.55882352941177,28.705882705882352,99.26,-141.41176470588235,10545.882352941177,3.0,94.11764705882354,1.1941176470588235,5908.35294117647,142.05108411764706,40:03.3,04:20.4,62000.0,174.0,-10.463282516832672,17,145.71428571428572,3.5440476190476193
